road_id;point_id;longitude;latitude
18371006[D30b];57850S;8.703801;50.14526
18371006[D30b];578501;8.703684;50.145073
18371006[D30b];578502;8.703562;50.144905
18371006[D30b];578503;8.703437;50.14479
18371006[D30b];578504;8.703154;50.144608
18371006[D30b];578505;8.702904;50.144413
18371006[D30b];578506;8.702838;50.144318
18371006[D30b];578507;8.702787;50.144135
18371006[D30b];578508;8.702809;50.14399
18371006[D30b];578509;8.702962;50.14372
18371006[D30b];5785010;8.7030735;50.14351
18371006[D30b];5785011;8.703217;50.143288
18371006[D30b];5785012;8.703206;50.143173
18371006[D30b];57850E;8.703105;50.143024
18371007[D40a];73016S;8.703801;50.14526
18371007[D40a];730161;8.703714;50.145027
18371007[D40a];730162;8.703541;50.144817
18371007[D40a];730163;8.703433;50.144684
18371007[D40a];730164;8.70319;50.14447
18371007[D40a];730165;8.702983;50.14426
18371007[D40a];730166;8.702946;50.14415
18371007[D40a];730167;8.702972;50.14399
18371007[D40a];730168;8.70324;50.143417
18371007[D40a];73016E;8.703388;50.143192
18370006[D12a (KFZ12)];62079S;8.698935;50.14082
18370006[D12a (KFZ12)];620791;8.699033;50.140896
18370006[D12a (KFZ12)];62079E;8.703475;50.14306
18372008[D8 (KFZ5)];107127S;8.705929;50.145313
18372008[D8 (KFZ5)];107127E;8.706124;50.145573
18370004[D6 (KFZ6)];107345S;8.6982565;50.13898
18370004[D6 (KFZ6)];1073451;8.698482;50.139492
18370004[D6 (KFZ6)];1073452;8.698628;50.139744
18370004[D6 (KFZ6)];1073453;8.698788;50.14015
18370004[D6 (KFZ6)];1073454;8.698805;50.140575
18370004[D6 (KFZ6)];107345E;8.698935;50.14082
483492732[A661/18FRS-97];108622S;8.653253;50.193573
483492732[A661/18FRS-97];1086221;8.65385;50.19266
483492732[A661/18FRS-97];1086222;8.653813;50.192394
483492732[A661/18FRS-97];1086223;8.653612;50.192204
483492732[A661/18FRS-97];108622E;8.652951;50.191936
18370007[D12b (KFZ12)];62079S;8.698935;50.14082
18370007[D12b (KFZ12)];620791;8.699033;50.140896
18370007[D12b (KFZ12)];62079E;8.703475;50.14306
17402004[D4 (KFZ2)];105794S;8.646075;50.08433
17402004[D4 (KFZ2)];1057941;8.646362;50.08447
17402004[D4 (KFZ2)];1057942;8.646951;50.08475
17402004[D4 (KFZ2)];1057943;8.647539;50.08503
17402004[D4 (KFZ2)];105794E;8.647803;50.08517
18384004[D20b (KFZ2)];61880S;8.687822;50.115685
18384004[D20b (KFZ2)];618801;8.687694;50.117016
18384004[D20b (KFZ2)];618802;8.687774;50.11713
18384004[D20b (KFZ2)];618803;8.687962;50.117294
18384004[D20b (KFZ2)];61880E;8.688173;50.117466
17407002[D2 (KFZ1)];105933S;8.643012;50.083046
17407002[D2 (KFZ1)];1059331;8.642494;50.082817
17407002[D2 (KFZ1)];1059332;8.641822;50.08257
17407002[D2 (KFZ1)];1059333;8.640351;50.082047
17407002[D2 (KFZ1)];105933E;8.639136;50.081615
18384001[D10a (KFZ1)];106664S;8.688586;50.118362
18384001[D10a (KFZ1)];1066641;8.688408;50.118206
18384001[D10a (KFZ1)];1066642;8.688295;50.118053
18384001[D10a (KFZ1)];106664E;8.688156;50.117825
17387003[D3];37720S;8.637895;50.090134
17387003[D3];377201;8.638304;50.089798
17387003[D3];377202;8.638576;50.089603
17387003[D3];37720E;8.638801;50.089447
220172420[T242 FR West];106915S;8.729583;50.10702
220172420[T242 FR West];1069151;8.72904;50.107018
220172420[T242 FR West];1069152;8.728581;50.107006
220172420[T242 FR West];1069153;8.728169;50.10697
220172420[T242 FR West];1069154;8.727795;50.106915
220172420[T242 FR West];1069155;8.727345;50.10681
220172420[T242 FR West];1069156;8.726853;50.106655
220172420[T242 FR West];1069157;8.726418;50.106472
220172420[T242 FR West];1069158;8.725972;50.106247
220172420[T242 FR West];1069159;8.725385;50.10594
220172420[T242 FR West];10691510;8.724936;50.10572
220172420[T242 FR West];10691511;8.724478;50.10554
220172420[T242 FR West];10691512;8.723945;50.105392
220172420[T242 FR West];10691513;8.723533;50.105316
220172420[T242 FR West];10691514;8.723268;50.10528
220172420[T242 FR West];106915E;8.721636;50.105194
17382003[D3 (2)];61288S;8.663721;50.103584
17382003[D3 (2)];612881;8.6635685;50.10346
17382003[D3 (2)];61288E;8.663429;50.103226
17387001[D1];74256S;8.64284;50.091274
17387001[D1];742561;8.642282;50.090996
17387001[D1];742562;8.640764;50.090366
17387001[D1];742563;8.63995;50.089966
17387001[D1];742564;8.6395235;50.089775
17387001[D1];742565;8.639194;50.089622
17387001[D1];742566;8.6388035;50.089447
17387001[D1];74256E;8.638801;50.089447
18372004[D4 (KFZ3)];30470S;8.706478;50.14545
18372004[D4 (KFZ3)];304701;8.706315;50.14554
18372004[D4 (KFZ3)];30470E;8.706124;50.145573
15430004[D3];105196S;8.656629;50.109695
15430004[D3];1051961;8.656655;50.109856
15430004[D3];105196E;8.657158;50.110893
18367008[D30a (KFZ3)];41768S;8.692551;50.132004
18367008[D30a (KFZ3)];417681;8.693274;50.132042
18367008[D30a (KFZ3)];417682;8.693924;50.132046
18367008[D30a (KFZ3)];41768E;8.694877;50.132107
15430007[D6];105196S;8.656629;50.109695
15430007[D6];1051961;8.656655;50.109856
15430007[D6];105196E;8.657158;50.110893
18237006[D6];109580S;8.7518425;50.141743
18237006[D6];1095801;8.752224;50.1419
18237006[D6];1095802;8.752519;50.142002
18237006[D6];109580E;8.753034;50.142166
18383001[D10a (KFZ1)];61876S;8.687624;50.117287
18383001[D10a (KFZ1)];618761;8.687518;50.117126
18383001[D10a (KFZ1)];61876E;8.687466;50.11699
17790002[D2 (KFZ2)];41389S;8.652869;50.094402
17790002[D2 (KFZ2)];413891;8.653089;50.094498
17790002[D2 (KFZ2)];413892;8.653342;50.094574
17790002[D2 (KFZ2)];413893;8.653822;50.094666
17790002[D2 (KFZ2)];413894;8.654252;50.094746
17790002[D2 (KFZ2)];413895;8.654809;50.094852
17790002[D2 (KFZ2)];413896;8.654874;50.094864
17790002[D2 (KFZ2)];413897;8.654942;50.094875
17790002[D2 (KFZ2)];413898;8.655032;50.094894
17790002[D2 (KFZ2)];413899;8.657628;50.095383
17790002[D2 (KFZ2)];4138910;8.658637;50.095703
17790002[D2 (KFZ2)];41389E;8.658849;50.095776
18303015[D15 (5)];61948S;8.671533;50.127136
18303015[D15 (5)];619481;8.672081;50.127567
18303015[D15 (5)];619482;8.672564;50.127926
18303015[D15 (5)];61948E;8.672907;50.128098
18967003[D3];61362S;8.679569;50.10333
18967003[D3];613621;8.680293;50.10241
18967003[D3];61362E;8.680526;50.10209
18890014[D8 (KFZ8)];109597S;8.692355;50.128433
18890014[D8 (KFZ8)];109597E;8.693006;50.128883
17398001[D1];66558S;8.648101;50.086994
17398001[D1];66558E;8.649022;50.087124
18864009[D4b (KFZ4)];106622S;8.6882;50.111404
18864009[D4b (KFZ4)];1066221;8.688208;50.11155
18864009[D4b (KFZ4)];1066222;8.68821;50.111897
18864009[D4b (KFZ4)];1066223;8.6882;50.112144
