point_id;road;suburb;city_district;city;state_district;state;postcode;country
57850S;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578501;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578502;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578503;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578504;Marbachweg;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60435;Deutschland
578505;Marbachweg;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60435;Deutschland
578506;Walter-Hesselbach-Straße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578507;Walter-Hesselbach-Straße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578508;Walter-Hesselbach-Straße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
578509;Walter-Hesselbach-Straße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
5785010;Friedberger Landstraße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
5785011;Friedberger Landstraße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
5785012;Friedberger Landstraße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
57850E;Friedberger Landstraße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
73016S;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
730161;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
730162;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
730163;A 661;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
730164;Walter-Hesselbach-Straße;Preungesheim;Preungesheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60389;Deutschland
