point_id;road_id
57850S;18371006[D30b]
578501;18371006[D30b]
578502;18371006[D30b]
578503;18371006[D30b]
578504;18371006[D30b]
578505;18371006[D30b]
578506;18371006[D30b]
578507;18371006[D30b]
578508;18371006[D30b]
578509;18371006[D30b]
5785010;18371006[D30b]
5785011;18371006[D30b]
5785012;18371006[D30b]
57850E;18371006[D30b]
73016S;18371007[D40a]
730161;18371007[D40a]
730162;18371007[D40a]
730163;18371007[D40a]
730164;18371007[D40a]
730165;18371007[D40a]
730166;18371007[D40a]
730167;18371007[D40a]
730168;18371007[D40a]
73016E;18371007[D40a]
62079S;18370006[D12a (KFZ12)]
620791;18370006[D12a (KFZ12)]
62079E;18370006[D12a (KFZ12)]
107127S;18372008[D8 (KFZ5)]
107127E;18372008[D8 (KFZ5)]
107345S;18370004[D6 (KFZ6)]
1073451;18370004[D6 (KFZ6)]
1073452;18370004[D6 (KFZ6)]
1073453;18370004[D6 (KFZ6)]
1073454;18370004[D6 (KFZ6)]
107345E;18370004[D6 (KFZ6)]
108622S;483492732[A661/18FRS-97]
1086221;483492732[A661/18FRS-97]
1086222;483492732[A661/18FRS-97]
1086223;483492732[A661/18FRS-97]
108622E;483492732[A661/18FRS-97]
62079S;18370007[D12b (KFZ12)]
620791;18370007[D12b (KFZ12)]
62079E;18370007[D12b (KFZ12)]
105794S;17402004[D4 (KFZ2)]
1057941;17402004[D4 (KFZ2)]
1057942;17402004[D4 (KFZ2)]
1057943;17402004[D4 (KFZ2)]
105794E;17402004[D4 (KFZ2)]
61880S;18384004[D20b (KFZ2)]
618801;18384004[D20b (KFZ2)]
618802;18384004[D20b (KFZ2)]
618803;18384004[D20b (KFZ2)]
61880E;18384004[D20b (KFZ2)]
105933S;17407002[D2 (KFZ1)]
1059331;17407002[D2 (KFZ1)]
1059332;17407002[D2 (KFZ1)]
1059333;17407002[D2 (KFZ1)]
105933E;17407002[D2 (KFZ1)]
106664S;18384001[D10a (KFZ1)]
1066641;18384001[D10a (KFZ1)]
1066642;18384001[D10a (KFZ1)]
106664E;18384001[D10a (KFZ1)]
37720S;17387003[D3]
377201;17387003[D3]
377202;17387003[D3]
37720E;17387003[D3]
106915S;220172420[T242 FR West]
1069151;220172420[T242 FR West]
1069152;220172420[T242 FR West]
1069153;220172420[T242 FR West]
1069154;220172420[T242 FR West]
1069155;220172420[T242 FR West]
1069156;220172420[T242 FR West]
1069157;220172420[T242 FR West]
1069158;220172420[T242 FR West]
1069159;220172420[T242 FR West]
10691510;220172420[T242 FR West]
10691511;220172420[T242 FR West]
10691512;220172420[T242 FR West]
10691513;220172420[T242 FR West]
10691514;220172420[T242 FR West]
106915E;220172420[T242 FR West]
61288S;17382003[D3 (2)]
612881;17382003[D3 (2)]
61288E;17382003[D3 (2)]
74256S;17387001[D1]
742561;17387001[D1]
742562;17387001[D1]
742563;17387001[D1]
742564;17387001[D1]
742565;17387001[D1]
742566;17387001[D1]
74256E;17387001[D1]
30470S;18372004[D4 (KFZ3)]
304701;18372004[D4 (KFZ3)]
30470E;18372004[D4 (KFZ3)]
105196S;15430004[D3]
1051961;15430004[D3]
105196E;15430004[D3]
41768S;18367008[D30a (KFZ3)]
417681;18367008[D30a (KFZ3)]
417682;18367008[D30a (KFZ3)]
41768E;18367008[D30a (KFZ3)]
105196S;15430007[D6]
1051961;15430007[D6]
105196E;15430007[D6]
109580S;18237006[D6]
1095801;18237006[D6]
1095802;18237006[D6]
109580E;18237006[D6]
61876S;18383001[D10a (KFZ1)]
618761;18383001[D10a (KFZ1)]
61876E;18383001[D10a (KFZ1)]
41389S;17790002[D2 (KFZ2)]
413891;17790002[D2 (KFZ2)]
413892;17790002[D2 (KFZ2)]
413893;17790002[D2 (KFZ2)]
413894;17790002[D2 (KFZ2)]
413895;17790002[D2 (KFZ2)]
413896;17790002[D2 (KFZ2)]
413897;17790002[D2 (KFZ2)]
413898;17790002[D2 (KFZ2)]
413899;17790002[D2 (KFZ2)]
4138910;17790002[D2 (KFZ2)]
41389E;17790002[D2 (KFZ2)]
61948S;18303015[D15 (5)]
619481;18303015[D15 (5)]
619482;18303015[D15 (5)]
61948E;18303015[D15 (5)]
61362S;18967003[D3]
613621;18967003[D3]
61362E;18967003[D3]
109597S;18890014[D8 (KFZ8)]
109597E;18890014[D8 (KFZ8)]
66558S;17398001[D1]
66558E;17398001[D1]
106622S;18864009[D4b (KFZ4)]
1066221;18864009[D4b (KFZ4)]
1066222;18864009[D4b (KFZ4)]
1066223;18864009[D4b (KFZ4)]
106622E;18864009[D4b (KFZ4)]
106622S;18864018[D44 (OV44)]
1066221;18864018[D44 (OV44)]
1066222;18864018[D44 (OV44)]
1066223;18864018[D44 (OV44)]
106622E;18864018[D44 (OV44)]
106648S;18384008[D3c (KFZ3)]
1066481;18384008[D3c (KFZ3)]
106648E;18384008[D3c (KFZ3)]
60747S;17399008[D8]
607471;17399008[D8]
607472;17399008[D8]
607473;17399008[D8]
607474;17399008[D8]
607475;17399008[D8]
60747E;17399008[D8]
107661S;18887019[D80b (KFZ8)]
1076611;18887019[D80b (KFZ8)]
1076612;18887019[D80b (KFZ8)]
1076613;18887019[D80b (KFZ8)]
1076614;18887019[D80b (KFZ8)]
1076615;18887019[D80b (KFZ8)]
1076616;18887019[D80b (KFZ8)]
107661E;18887019[D80b (KFZ8)]
106586S;18179008[D40a (Video)]
1065861;18179008[D40a (Video)]
1065862;18179008[D40a (Video)]
1065863;18179008[D40a (Video)]
106586E;18179008[D40a (Video)]
107457S;17390005[D3a]
107457E;17390005[D3a]
107457S;17390004[D3]
107457E;17390004[D3]
106623S;18828004[D4 (KFZ2)]
1066231;18828004[D4 (KFZ2)]
1066232;18828004[D4 (KFZ2)]
1066233;18828004[D4 (KFZ2)]
106623E;18828004[D4 (KFZ2)]
105932S;17404001[D1 (1)]
105932E;17404001[D1 (1)]
64139S;18369012[D8a (KFZ8)]
641391;18369012[D8a (KFZ8)]
641392;18369012[D8a (KFZ8)]
64139E;18369012[D8a (KFZ8)]
61817S;18436009[D4a]
618171;18436009[D4a]
618172;18436009[D4a]
61817E;18436009[D4a]
60745S;17388001[DET 1 (1)]
607451;17388001[DET 1 (1)]
607452;17388001[DET 1 (1)]
607453;17388001[DET 1 (1)]
607454;17388001[DET 1 (1)]
60745E;17388001[DET 1 (1)]
105670S;17451003[D3 (1)]
1056701;17451003[D3 (1)]
105670E;17451003[D3 (1)]
105762S;17390003[D2]
105762E;17390003[D2]
60746S;17387002[D2]
607461;17387002[D2]
607462;17387002[D2]
607463;17387002[D2]
607464;17387002[D2]
60746E;17387002[D2]
41768S;18367005[D3b (KFZ3)]
417681;18367005[D3b (KFZ3)]
417682;18367005[D3b (KFZ3)]
41768E;18367005[D3b (KFZ3)]
106311S;18890011[D7a (KFZ7)]
106311E;18890011[D7a (KFZ7)]
106346S;18369010[D5 (KFZ5)]
1063461;18369010[D5 (KFZ5)]
1063462;18369010[D5 (KFZ5)]
1063463;18369010[D5 (KFZ5)]
1063464;18369010[D5 (KFZ5)]
106346E;18369010[D5 (KFZ5)]
60858S;18864001[D10a (KFZ1)]
608581;18864001[D10a (KFZ1)]
608582;18864001[D10a (KFZ1)]
608583;18864001[D10a (KFZ1)]
60858E;18864001[D10a (KFZ1)]
41768S;18367007[D3d (KFZ3)]
417681;18367007[D3d (KFZ3)]
417682;18367007[D3d (KFZ3)]
41768E;18367007[D3d (KFZ3)]
60858S;18864010[D5 (KFZ5)]
608581;18864010[D5 (KFZ5)]
608582;18864010[D5 (KFZ5)]
608583;18864010[D5 (KFZ5)]
60858E;18864010[D5 (KFZ5)]
74664S;18372007[D7 (KFZ4)]
746641;18372007[D7 (KFZ4)]
74664E;18372007[D7 (KFZ4)]
105670S;17451002[D2 (1)]
1056701;17451002[D2 (1)]
105670E;17451002[D2 (1)]
105795S;17399005[D5]
1057951;17399005[D5]
1057952;17399005[D5]
1057953;17399005[D5]
1057954;17399005[D5]
105795E;17399005[D5]
105972S;17451006[D6 (4)]
1059721;17451006[D6 (4)]
105972E;17451006[D6 (4)]
60727S;18890006[D20c (KFZ2)]
60727E;18890006[D20c (KFZ2)]
62079S;18371003[D20a]
620791;18371003[D20a]
62079E;18371003[D20a]
74314S;18179001[D10 (Video)]
743141;18179001[D10 (Video)]
743142;18179001[D10 (Video)]
743143;18179001[D10 (Video)]
743144;18179001[D10 (Video)]
743145;18179001[D10 (Video)]
743146;18179001[D10 (Video)]
743147;18179001[D10 (Video)]
743148;18179001[D10 (Video)]
74314E;18179001[D10 (Video)]
45355S;18864004[D20b (KFZ2)]
453551;18864004[D20b (KFZ2)]
453552;18864004[D20b (KFZ2)]
45355E;18864004[D20b (KFZ2)]
105719S;17375031[D7]
105719E;17375031[D7]
106828S;18392001[D1 (KFZ1)]
106828E;18392001[D1 (KFZ1)]
109938S;17388002[DET 2 (2)]
109938E;17388002[DET 2 (2)]
106280S;18885007[D7 (KFZ5)]
1062801;18885007[D7 (KFZ5)]
1062802;18885007[D7 (KFZ5)]
106280E;18885007[D7 (KFZ5)]
105764S;17390002[D1a]
1057641;17390002[D1a]
1057642;17390002[D1a]
1057643;17390002[D1a]
105764E;17390002[D1a]
106584S;18457006[D6 (KFZ3)]
1065841;18457006[D6 (KFZ3)]
106584E;18457006[D6 (KFZ3)]
105228S;15436002[D2]
1052281;15436002[D2]
1052282;15436002[D2]
105228E;15436002[D2]
105971S;17451004[D4 (2)]
1059711;17451004[D4 (2)]
105971E;17451004[D4 (2)]
105972S;17451005[D5 (4)]
1059721;17451005[D5 (4)]
105972E;17451005[D5 (4)]
105764S;17390006[D4]
1057641;17390006[D4]
1057642;17390006[D4]
1057643;17390006[D4]
105764E;17390006[D4]
106650S;18384015[D7b (KFZ7)]
1066501;18384015[D7b (KFZ7)]
106650E;18384015[D7b (KFZ7)]
105200S;15433016[D24]
1052001;15433016[D24]
105200E;15433016[D24]
105200S;15433017[D25]
1052001;15433017[D25]
105200E;15433017[D25]
106614S;18828002[D2 (KFZ1)]
1066141;18828002[D2 (KFZ1)]
1066142;18828002[D2 (KFZ1)]
106614E;18828002[D2 (KFZ1)]
60858S;18864002[D10b (KFZ1)]
608581;18864002[D10b (KFZ1)]
608582;18864002[D10b (KFZ1)]
608583;18864002[D10b (KFZ1)]
60858E;18864002[D10b (KFZ1)]
60858S;18864011[D50 (KFZ5)]
608581;18864011[D50 (KFZ5)]
608582;18864011[D50 (KFZ5)]
608583;18864011[D50 (KFZ5)]
60858E;18864011[D50 (KFZ5)]
105795S;17399004[D4]
1057951;17399004[D4]
1057952;17399004[D4]
1057953;17399004[D4]
1057954;17399004[D4]
105795E;17399004[D4]
106916S;220162580[T258 FR Ost]
1069161;220162580[T258 FR Ost]
1069162;220162580[T258 FR Ost]
1069163;220162580[T258 FR Ost]
1069164;220162580[T258 FR Ost]
1069165;220162580[T258 FR Ost]
1069166;220162580[T258 FR Ost]
1069167;220162580[T258 FR Ost]
1069168;220162580[T258 FR Ost]
1069169;220162580[T258 FR Ost]
10691610;220162580[T258 FR Ost]
106916E;220162580[T258 FR Ost]
105670S;17451001[D1 (1)]
1056701;17451001[D1 (1)]
105670E;17451001[D1 (1)]
106916S;220162570[T257 FR Ost]
1069161;220162570[T257 FR Ost]
1069162;220162570[T257 FR Ost]
1069163;220162570[T257 FR Ost]
1069164;220162570[T257 FR Ost]
1069165;220162570[T257 FR Ost]
1069166;220162570[T257 FR Ost]
1069167;220162570[T257 FR Ost]
