road_id;road_name;type;numberOfLanes
18371006[D30b];Anschlussstelle Frankfurt am Main-Friedberger Land;car;1
18371007[D40a];Anschlussstelle Frankfurt am Main-Friedberger Land;car;1
18370006[D12a (KFZ12)];Friedberger Landstraße;car;1
18372008[D8 (KFZ5)];Friedberger Landstraße;car;1
18370004[D6 (KFZ6)];Friedberger Landstraße;car;1
483492732[A661/18FRS-97];Anschlussstelle Frankfurt am Main-Nieder-Eschenbac;car;1
18370007[D12b (KFZ12)];Friedberger Landstraße;car;1
17402004[D4 (KFZ2)];Triftstraße;car;1
18384004[D20b (KFZ2)];Konrad-Adenauer-Straße;car;1
17407002[D2 (KFZ1)];Adolf-Miersch-Straße;car;1
18384001[D10a (KFZ1)];Friedberger Landstraße;car;1
17387003[D3];Mainfeldstraße;car;1
220172420[T242 FR West];Gerbermühlstraße;car;1
17382003[D3 (2)];Gutleutstraße;car;1
17387001[D1];Niederräder Ufer;car;1
18372004[D4 (KFZ3)];Friedberger Landstraße;car;1
15430004[D3];Hohenstaufenstraße;car;1
18367008[D30a (KFZ3)];Rat-Beil-Straße;car;1
15430007[D6];Hohenstaufenstraße;car;1
18237006[D6];Borsigallee;car;1
18383001[D10a (KFZ1)];Konrad-Adenauer-Straße;car;1
17790002[D2 (KFZ2)];Theodor-Stern-Kai;car;1
18303015[D15 (5)];Bremer Straße;car;1
18967003[D3];Schweizer Straße;car;1
18890014[D8 (KFZ8)];Friedberger Landstraße;car;1
17398001[D1];Bruchfeldstraße;car;1
18864009[D4b (KFZ4)];Kurt-Schumacher-Straße;car;1
18864018[D44 (OV44)];Kurt-Schumacher-Straße;car;1
18384008[D3c (KFZ3)];Bleichstraße;car;1
17399008[D8];Rennbahnstraße;car;1
18887019[D80b (KFZ8)];Eckenheimer Landstraße;car;1
18179008[D40a (Video)];Walter-Kolb-Straße;car;1
17390005[D3a];Lyoner Straße;car;1
17390004[D3];Lyoner Straße;car;1
18828004[D4 (KFZ2)];Kurt-Schumacher-Straße;car;1
17404001[D1 (1)];Triftstraße;car;1
18369012[D8a (KFZ8)];Dortelweiler Straße;car;1
18436009[D4a];Marbachweg;car;1
17388001[DET 1 (1)];Niederräder Ufer;car;1
17451003[D3 (1)];Lyoner Straße;car;1
17390003[D2];Schwanheimer Ufer;car;1
17387002[D2];Niederräder Ufer;car;1
18367005[D3b (KFZ3)];Rat-Beil-Straße;car;1
18890011[D7a (KFZ7)];Friedberger Landstraße;car;1
18369010[D5 (KFZ5)];Friedberger Landstraße;car;1
18864001[D10a (KFZ1)];Battonnstraße;car;1
18367007[D3d (KFZ3)];Rat-Beil-Straße;car;1
18864010[D5 (KFZ5)];Battonnstraße;car;1
18372007[D7 (KFZ4)];Friedberger Landstraße;car;1
17451002[D2 (1)];Lyoner Straße;car;1
17399005[D5];Triftstraße;car;1
17451006[D6 (4)];Lyoner Straße;car;1
18890006[D20c (KFZ2)];Rothschildallee;car;1
18371003[D20a];Friedberger Landstraße;car;1
18179001[D10 (Video)];Sachsenhäuser Ufer;car;1
18864004[D20b (KFZ2)];Battonnstraße;car;1
17375031[D7];Stresemannallee;car;1
18392001[D1 (KFZ1)];Gutleutstraße;car;1
17388002[DET 2 (2)];Haardtwaldstraße;car;1
18885007[D7 (KFZ5)];Miquelallee;car;1
17390002[D1a];Schwanheimer Ufer;car;1
18457006[D6 (KFZ3)];Walter-Kolb-Straße;car;1
15436002[D2];Taunusstraße;car;1
17451004[D4 (2)];Goldsteinstraße;car;1
17451005[D5 (4)];Lyoner Straße;car;1
17390006[D4];Schwanheimer Ufer;car;1
18384015[D7b (KFZ7)];Bleichstraße;car;1
15433016[D24];Düsseldorfer Straße;car;1
15433017[D25];Düsseldorfer Straße;car;1
18828002[D2 (KFZ1)];Kurt-Schumacher-Straße;car;1
18864002[D10b (KFZ1)];Battonnstraße;car;1
18864011[D50 (KFZ5)];Battonnstraße;car;1
17399004[D4];Triftstraße;car;1
220162580[T258 FR Ost];Gerbermühlstraße;car;1
17451001[D1 (1)];Lyoner Straße;car;1
220162570[T257 FR Ost];Gerbermühlstraße;car;1
17451007[D7 (5)];Goldsteinstraße;car;1
220172410[T241 FR West];Gerbermühlstraße;car;1
18178006[D30a];Kurt-Schumacher-Straße;car;1
18888004[D4 (KFZ2)];Nibelungenallee;car;1
18384017[D11a (KFZ11)];Bleichstraße;car;1
18888002[D2 (KFZ1)];Rat-Beil-Straße;car;1
18384003[D20a (KFZ2)];Konrad-Adenauer-Straße;car;1
18885009[D9 (KFZ3)];Miquelallee;car;1
18179006[D30a (Video)];Alte Brücke (Main);car;1
18367009[D30b (KFZ3)];Rat-Beil-Straße;car;1
18864012[D7 (KFZ7)];Kurt-Schumacher-Straße;car;1
18885008[D8 (KFZ5)];Miquelallee;car;1
19110011[D20b (KFZ2)];Friedberger Landstraße;car;1
18361006[D4 (KFZ4)];Merianstraße;car;1
17377003[D3];Gartenstraße;car;1
17790005[D5 (KFZ5)];Theodor-Stern-Kai;car;1
18299001[D1 (KFZ1)];Hansaallee;car;1
18178001[D1];Kurt-Schumacher-Straße;car;1
18178008[D40a (Video)];Alte Brücke (Main);car;1
18299006[D6 (KFZ2)];Eschersheimer Landstraße;car;1
18299005[D5 (KFZ2)];Eschersheimer Landstraße;car;1
17378005[D5];Stresemannallee;car;1
18383003[D20a (KFZ2)];Konrad-Adenauer-Straße;car;1
18384002[D10b (KFZ1)];Friedberger Landstraße;car;1
18458001[D1 (KFZ1)];Walter-Kolb-Straße;car;1
17397004[D4];Schwarzwaldstraße;car;1
18885011[D11 (KFZ6)];Hansaallee;car;1
18890008[D30b (KFZ3)];Friedberger Landstraße;car;1
18350010[D10 (KFZ7)];Eschenheimer Tor;car;1
18299002[D2 (KFZ3)];Eschersheimer Landstraße;car;1
18299003[D3 (KFZ3)];Eschersheimer Landstraße;car;1
18384010[D30b (KFZ3)];Bleichstraße;car;1
17386021[gs21];Im Mainfeld;car;1
18372002[D2 (KFZ1)];Friedberger Landstraße;car;1
18885010[D10 (KFZ3)];Miquelallee;car;1
19110010[D20a (KFZ2)];Friedberger Landstraße;car;1
18371004[D20b];Friedberger Landstraße;car;1
18178007[D30b];Kurt-Schumacher-Straße;car;1
18304025[D25];Eschersheimer Landstraße;car;1
18458002[D2 (KFZ1)];Walter-Kolb-Straße;car;1
18302003[D3 (KFZ3)];Eschersheimer Landstraße;car;1
14029001[D10a (KFZ1)];Eschenheimer Anlage;car;1
14029003[D10c (KFZ1)];Eschenheimer Anlage;car;1
15433001[D1];Düsseldorfer Straße;car;1
18304026[D19Schleif];Adickesallee;car;1
17402006[D6 (KFZ4)];Triftstraße;car;1
18178009[D40b (Video)];Alte Brücke (Main);car;1
17400006[D6];Deutschordenstraße;car;1
18523003[D10c (KFZ1)];Hanauer Landstraße;car;1
18885013[D13 (KFZ2)];Hansaallee;car;1
15436005[D5];Am Hauptbahnhof;car;1
15436004[D4];Am Hauptbahnhof;car;1
18887013[D40 (KFZ4)];Eckenheimer Landstraße;car;1
14029007[D4b (KFZ4)];Petersstraße;car;1
18300005[D5 (KFZ3)];Wolfsgangstraße;car;1
14029004[D40a (KFZ4)];Petersstraße;car;1
14029006[D4a (KFZ4)];Petersstraße;car;1
14029010[D6 (KFZ6)];Eschenheimer Anlage;car;1
18889007[D5.3];Nibelungenallee;car;1
18885012[D12 (KFZ6)];Hansaallee;car;1
18304024[D24];Eschersheimer Landstraße;car;1
18523013[D5 (KFZ5)];Hanauer Landstraße;car;1
18523001[D10a (KFZ1)];Hanauer Landstraße;car;1
18304015[D15];Eschersheimer Landstraße;car;1
18178002[D4 (Video)];Alte Brücke (Main);car;1
18368009[D7a (KFZ7)];Gießener Straße;car;1
18889006[D5.2];Nibelungenallee;car;1
18298008[D8];Eschersheimer Landstraße;car;1
18888005[D5 (KFZ2)];Nibelungenallee;car;1
18298009[D9];Eschersheimer Landstraße;car;1
18828003[D3 (KFZ2)];Kurt-Schumacher-Straße;car;1
18945001[D1 (KFZ1)];Walter-Kolb-Straße;car;1
18458003[D3 (KFZ2)];Gartenstraße;car;1
18828006[D6 (KFZ4)];Börneplatz;car;1
18304027[D20Schleif];Adickesallee;car;1
18367003[D20 (KFZ2)];Friedberger Landstraße;car;1
18371005[D30a];Anschlussstelle Frankfurt am Main-Friedberger Land;car;1
15050002[D10b (KFZ1)];B521;car;1
15050003[D3 (KFZ3)];Friedberger Landstraße;car;1
18298006[D6];Eschersheimer Landstraße;car;1
18889005[D5.1];Nibelungenallee;car;1
