road_id;time;occupancy;vehicle_flow
18371006[D30b];2019-09-07T10:09:00.000+02:00;4.0166664;240
18371007[D40a];2019-09-07T10:09:00.000+02:00;8.75;240
18370006[D12a (KFZ12)];2019-09-07T10:09:00.000+02:00;1.5666667;120
18372008[D8 (KFZ5)];2019-09-07T10:09:00.000+02:00;0.0;0
18370004[D6 (KFZ6)];2019-09-07T10:09:00.000+02:00;62.866665;0
18370007[D12b (KFZ12)];2019-09-07T10:09:00.000+02:00;3.1333334;240
17402004[D4 (KFZ2)];2019-09-07T10:09:00.000+02:00;0.95;60
18384004[D20b (KFZ2)];2019-09-07T10:09:00.000+02:00;15.5;540
17407002[D2 (KFZ1)];2019-09-07T10:09:00.000+02:00;4.9833336;180
18384001[D10a (KFZ1)];2019-09-07T10:09:00.000+02:00;5.5;300
17387003[D3];2019-09-07T10:09:00.000+02:00;0.0;0
17382003[D3 (2)];2019-09-07T10:09:00.000+02:00;0.0;0
17387001[D1];2019-09-07T10:09:00.000+02:00;6.266667;180
18372004[D4 (KFZ3)];2019-09-07T10:09:00.000+02:00;49.8;180
15430004[D3];2019-09-07T10:09:00.000+02:00;2.2333333;0
18367008[D30a (KFZ3)];2019-09-07T10:09:00.000+02:00;0.0;0
15430007[D6];2019-09-07T10:09:00.000+02:00;1.8;60
18237006[D6];2019-09-07T10:09:00.000+02:00;1.05;60
18383001[D10a (KFZ1)];2019-09-07T10:09:00.000+02:00;2.1666667;180
17790002[D2 (KFZ2)];2019-09-07T10:09:00.000+02:00;33.86667;300
18303015[D15 (5)];2019-09-07T10:09:00.000+02:00;70.86667;300
18967003[D3];2019-09-07T10:09:00.000+02:00;14.666666;240
18890014[D8 (KFZ8)];2019-09-07T10:09:00.000+02:00;0.0;0
17398001[D1];2019-09-07T10:09:00.000+02:00;0.0;0
18864009[D4b (KFZ4)];2019-09-07T10:09:00.000+02:00;0.0;0
18864018[D44 (OV44)];2019-09-07T10:09:00.000+02:00;0.0;0
18384008[D3c (KFZ3)];2019-09-07T10:09:00.000+02:00;49.166668;0
17399008[D8];2019-09-07T10:09:00.000+02:00;0.0;0
18887019[D80b (KFZ8)];2019-09-07T10:09:00.000+02:00;0.55;60
18179008[D40a (Video)];2019-09-07T10:09:00.000+02:00;62.816666;300
17390005[D3a];2019-09-07T10:09:00.000+02:00;62.78333;120
17390004[D3];2019-09-07T10:09:00.000+02:00;64.11667;120
18828004[D4 (KFZ2)];2019-09-07T10:09:00.000+02:00;0.0;0
17404001[D1 (1)];2019-09-07T10:09:00.000+02:00;0.0;0
18369012[D8a (KFZ8)];2019-09-07T10:09:00.000+02:00;7.05;180
18436009[D4a];2019-09-07T10:09:00.000+02:00;90.433334;0
17388001[DET 1 (1)];2019-09-07T10:09:00.000+02:00;0.96666664;120
17451003[D3 (1)];2019-09-07T10:09:00.000+02:00;0.0;0
17390003[D2];2019-09-07T10:09:00.000+02:00;88.05;180
17387002[D2];2019-09-07T10:09:00.000+02:00;0.0;0
18367005[D3b (KFZ3)];2019-09-07T10:09:00.000+02:00;0.0;0
18890011[D7a (KFZ7)];2019-09-07T10:09:00.000+02:00;29.750002;300
18369010[D5 (KFZ5)];2019-09-07T10:09:00.000+02:00;17.616667;120
18864001[D10a (KFZ1)];2019-09-07T10:09:00.000+02:00;0.0;0
18367007[D3d (KFZ3)];2019-09-07T10:09:00.000+02:00;0.0;0
18864010[D5 (KFZ5)];2019-09-07T10:09:00.000+02:00;0.0;0
18372007[D7 (KFZ4)];2019-09-07T10:09:00.000+02:00;0.0;0
17451002[D2 (1)];2019-09-07T10:09:00.000+02:00;33.833332;0
17399005[D5];2019-09-07T10:09:00.000+02:00;31.216665;180
17451006[D6 (4)];2019-09-07T10:09:00.000+02:00;29.35;60
18890006[D20c (KFZ2)];2019-09-07T10:09:00.000+02:00;1.6333334;120
18371003[D20a];2019-09-07T10:09:00.000+02:00;7.766667;540
18179001[D10 (Video)];2019-09-07T10:09:00.000+02:00;4.2666664;180
18864004[D20b (KFZ2)];2019-09-07T10:09:00.000+02:00;0.0;0
17375031[D7];2019-09-07T10:09:00.000+02:00;0.0;0
18392001[D1 (KFZ1)];2019-09-07T10:09:00.000+02:00;51.033337;120
17388002[DET 2 (2)];2019-09-07T10:09:00.000+02:00;80.066666;0
18885007[D7 (KFZ5)];2019-09-07T10:09:00.000+02:00;4.3333335;300
17390002[D1a];2019-09-07T10:09:00.000+02:00;1.2333333;120
18457006[D6 (KFZ3)];2019-09-07T10:09:00.000+02:00;1.3666667;60
15436002[D2];2019-09-07T10:09:00.000+02:00;76.5;180
17451004[D4 (2)];2019-09-07T10:09:00.000+02:00;67.16667;120
17451005[D5 (4)];2019-09-07T10:09:00.000+02:00;69.55;60
17390006[D4];2019-09-07T10:09:00.000+02:00;18.083334;60
18384015[D7b (KFZ7)];2019-09-07T10:09:00.000+02:00;0.0;0
15433016[D24];2019-09-07T10:09:00.000+02:00;16.666668;540
15433017[D25];2019-09-07T10:09:00.000+02:00;18.85;480
18828002[D2 (KFZ1)];2019-09-07T10:09:00.000+02:00;0.0;0
18864002[D10b (KFZ1)];2019-09-07T10:09:00.000+02:00;0.0;0
