"Summary","UID","Description","Location","Start Time","End Time","URL"
"Neujahr","f54b6046-ea17-43a8-9b1d-2e1afb381b1d","Neujahr - Importiert von Ferienwiki.de","","2019-01-01","2019-01-02",""
"Heilige Drei Könige","286948dc-39cf-489a-bcbb-5f7e1cd70cfc","Heilige Drei Könige - Importiert von Ferienwiki.de","","2019-01-06","2019-01-07",""
"Internationaler Frauentag","d56667ff-d65f-481a-8c19-f83f7949e2d3","Internationaler Frauentag - Importiert von Ferienwiki.de","","2019-03-08","2019-03-09",""
"Karfreitag","9eadac94-d7e4-41e4-ae18-2a7b7f854180","Karfreitag - Importiert von Ferienwiki.de","","2019-04-19","2019-04-20",""
"Ostersonntag","5f519887-a5d3-47bd-8341-09d65b288d0e","Ostersonntag - Importiert von Ferienwiki.de","","2019-04-21","2019-04-22",""
"Ostermontag","fb701905-29c0-432e-97bc-7cd3d4deaeae","Ostermontag - Importiert von Ferienwiki.de","","2019-04-22","2019-04-23",""
"Tag der Arbeit","a598b54c-26d6-4b96-bd1d-b83ad2367768","Tag der Arbeit - Importiert von Ferienwiki.de","","2019-05-01","2019-05-02",""
"Christi Himmelfahrt","0f11ecf6-9a7a-45e4-badd-32ae65a776b5","Christi Himmelfahrt - Importiert von Ferienwiki.de","","2019-05-30","2019-05-31",""
"Pfingstsonntag","8e4d9a25-8a24-473b-9a46-931bc7094d1a","Pfingstsonntag - Importiert von Ferienwiki.de","","2019-06-09","2019-06-10",""
"Pfingstmontag","e14d9ce3-c336-469c-a883-a688729a92d9","Pfingstmontag - Importiert von Ferienwiki.de","","2019-06-10","2019-06-11",""
"Fronleichnam","6275d90a-8654-4be2-a488-806a58ec7deb","Fronleichnam - Importiert von Ferienwiki.de","","2019-06-20","2019-06-21",""
"Augsburger Friedensfest","f7bd41ce-596c-4dc9-acbd-b776525dba70","Augsburger Friedensfest - Importiert von Ferienwiki.de","","2019-08-08","2019-08-09",""
"Mariä Himmelfahrt","da44211c-cb22-43d2-801d-1d1cde61a8e4","Mariä Himmelfahrt - Importiert von Ferienwiki.de","","2019-08-15","2019-08-16",""
"Tag der Deutschen Einheit","952d2d45-e528-472f-9b70-7a8533718d88","Tag der Deutschen Einheit - Importiert von Ferienwiki.de","","2019-10-03","2019-10-04",""
"Reformationstag","0c165d34-a1c9-4d05-8818-83a8bf8f9604","Reformationstag - Importiert von Ferienwiki.de","","2019-10-31","2019-11-01",""
"Allerheiligen","5f178000-ff4b-42ac-ada0-4329a13e239a","Allerheiligen - Importiert von Ferienwiki.de","","2019-11-01","2019-11-02",""
"Buß- und Bettag","6349f6c1-0162-466c-b0b8-25184ef54fd1","Buß- und Bettag - Importiert von Ferienwiki.de","","2019-11-20","2019-11-21",""
"1. Weihnachtstag","51a6c97f-aea3-42fd-8b10-f0d5797f8a71","1. Weihnachtstag - Importiert von Ferienwiki.de","","2019-12-25","2019-12-26",""
"2. Weihnachtstag","45829cbd-9d1e-4291-8d0b-f7a10265f0fd","2. Weihnachtstag - Importiert von Ferienwiki.de","","2019-12-26","2019-12-27",""
