"Summary","UID","Description","Location","Start Time","End Time","URL"
"Neujahr","47a918db-f762-49c5-a56b-759436cc2e44","Neujahr - Importiert von Ferienwiki.de","","2020-01-01","2020-01-02",""
"Karfreitag","ddc58f3b-add0-4b3c-ba0c-75266dca9b4e","Karfreitag - Importiert von Ferienwiki.de","","2020-04-10","2020-04-11",""
"Ostermontag","c4bc40f0-5780-47b2-a529-78e7bfcc7b44","Ostermontag - Importiert von Ferienwiki.de","","2020-04-13","2020-04-14",""
"Tag der Arbeit","267a5faa-6536-4a52-8fe5-830b18304baa","Tag der Arbeit - Importiert von Ferienwiki.de","","2020-05-01","2020-05-02",""
"Christi Himmelfahrt","e3fee3f5-1664-441c-a8df-fc16b0a3c731","Christi Himmelfahrt - Importiert von Ferienwiki.de","","2020-05-21","2020-05-22",""
"Pfingstmontag","d71e8499-0415-49df-b625-10939937e810","Pfingstmontag - Importiert von Ferienwiki.de","","2020-06-01","2020-06-02",""
"Fronleichnam","c37f1ebf-348a-4a5e-8c30-b396dc9be433","Fronleichnam - Importiert von Ferienwiki.de","","2020-06-11","2020-06-12",""
"Tag der Deutschen Einheit","253657ce-403c-4e13-9030-186bae62716d","Tag der Deutschen Einheit - Importiert von Ferienwiki.de","","2020-10-03","2020-10-04",""
"1. Weihnachtstag","7e6282e4-16a3-4e04-8abb-723ca9ecc6bc","1. Weihnachtstag - Importiert von Ferienwiki.de","","2020-12-25","2020-12-26",""
"2. Weihnachtstag","d36f0296-2853-42c1-bbef-d4930ee9d753","2. Weihnachtstag - Importiert von Ferienwiki.de","","2020-12-26","2020-12-27",""
